"No.","Time","Source","Destination","Protocol","Length","Info"
"100","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=13320, ID=d4c8) [Reassembled in #135]"
"101","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=14800, ID=d4c8) [Reassembled in #135]"
"102","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=16280, ID=d4c8) [Reassembled in #135]"
"103","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=17760, ID=d4c8) [Reassembled in #135]"
"104","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=19240, ID=d4c8) [Reassembled in #135]"
"105","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=20720, ID=d4c8) [Reassembled in #135]"
"106","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=22200, ID=d4c8) [Reassembled in #135]"
"107","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=23680, ID=d4c8) [Reassembled in #135]"
"108","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=25160, ID=d4c8) [Reassembled in #135]"
"109","1.014432","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=26640, ID=d4c8) [Reassembled in #135]"
"110","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=28120, ID=d4c8) [Reassembled in #135]"
"111","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=29600, ID=d4c8) [Reassembled in #135]"
"112","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=31080, ID=d4c8) [Reassembled in #135]"
"113","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=32560, ID=d4c8) [Reassembled in #135]"
"114","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=34040, ID=d4c8) [Reassembled in #135]"
"115","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=35520, ID=d4c8) [Reassembled in #135]"
"116","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=37000, ID=d4c8) [Reassembled in #135]"
"117","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=38480, ID=d4c8) [Reassembled in #135]"
"118","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=39960, ID=d4c8) [Reassembled in #135]"
"119","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=41440, ID=d4c8) [Reassembled in #135]"
"120","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=42920, ID=d4c8) [Reassembled in #135]"
"121","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=44400, ID=d4c8) [Reassembled in #135]"
"122","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=45880, ID=d4c8) [Reassembled in #135]"
"123","1.014883","192.168.1.104","192.168.1.240","IPv4","1514","Fragmented IP protocol (proto=ICMP 1, off=47360, ID=d4c8) [Reassembled in #135]"
